Original_Review,Aspects,Sentiments,Empty,label
따뜻한 핫초코와 시식 샌드위치까지 맛있고 따뜻했습니다,커피_음료/베이커리_빵,긍정/긍정,,110000000000
직원분들이 친절하시고 아메리카노 맛있어요!,커피_음료/서비스,긍정/긍정,,100000001000
뷰도 좋고 커피도 맛나요!,커피_음료/분위기_감성,긍정/긍정,,100000010000
"연신내 해례커피 본점이 성수동으로 이전했다고 해서 방문해봤어요 노란 빛이 감도는 우드 톤에 유럽 감성을 한 스푼 넣은 듯한 인테리어로 따스하고 포근한 감성을 느낄 수 있던 공간! 수동식 커피머신을 이용한 커피와 화려하고 풍성한 케이크, 츄러스 모양의 도넛인 츄로넛을 선보이며 공간도 메뉴도 전보다 더 다채로워진 것 같아요",커피_음료/케이크/기타_디저트/분위기_감성,긍정/긍정/긍정/긍정,,101001010000
지나가다 귀여운 인테리어보고 포장해 갔는데 빵도 너무 맛있어요 !,베이커리_빵/분위기_감성/선물_포장,긍정/긍정/긍정,,010000010010
멜론 빙수 달콤하고 부드러워서 행복했어요 아메리카노랑 시너지 굳!,커피_음료/빙수_과일,긍정/긍정,,100010000000
맛있네용 잘먹고 갑니다,없음,없음,,000000000000
친절하고 맛있어서 좋아요,서비스,긍정,,000000001000
초코가 올라간 희망시에는 처음이라 기대됩니다 !,쿠키_구움과자,중립,,000100000000
역시 실망시키지 않는군요. 피스타치오 추천합니다!,없음,없음,,000000000000
SNS에 소금붕어빵 소개한 영상보고 너무 먹고 싶어서 와이프랑 데이트 할겸 와서 빙수와 소금붕어빵 올리브 치즈 소금빵까지 넉넉하게 시켜서 너무너무 맛있게 먹고 갑니다. 빙수도 커서 실컷 먹었네요.,베이커리_빵/빙수_과일/기타_디저트,긍정/긍정/긍정,,010011000000
우와꼬소하고 맛있어요 또와야지,없음,없음,,000000000000
한번도 안간 사람은 있어도 한번만 간 사람은 없을 그런 공간입니다..!,분위기_감성,긍정,,000000010000
주차가 불편하지만 소금빵이 너무 맛있어요,베이커리_빵/공간_편의시설,긍정/부정,,010000200000
성수동에서 제일 맛있는 소금베이글과 아아,커피_음료/베이커리_빵,긍정/긍정,,110000000000
"성수동 디저트 카페 구욱희씨! 야외 테라스자리도 있고 2층, 루프탑까지 넓고 쾌적한 카페예요 인테리어도 넘 귀엽고 스콘, 쿠키, 케이크 등 디저트 완전 다양하고 카피도 맛있어서 서울숲 디저트카페 찾다가 귀여운 외관에 들어왔는데 완전 만족!! 특히 스콘이 맛있더라구요",커피_음료/케이크/쿠키_구움과자/공간_편의시설/분위기_감성,긍정/긍정/긍정/긍정/긍정,,101100110000
"성수는 메인거리에는 수많은 카페가 있는데 어딜가도 전부 좌석이 하나도 없어서 가게 되었는데 통창유리에 깔끔한 금박 훔볼트 라고 적힌 간판을 발견 고급진 외관에 드넓은 내부, 화이트톤의 호텔같은 분위기! 샹들리에가 굉장히 멋져서 눈에 띄었다 베이커리가 굉장히 다양하고 커피와 음료도 많다 너무 맛있어보여서 고심끝에 딸기티라미수,딸기차,치즈바게트,밀크티를 시켰는데 진짜 티라미수 입에서 녹는다.. 딸기차도 생각보다 양이많고 비주얼은 별로인데 맛은 또 좋아서 의외로 놀랬다. 사람도 많고 대형카페인데 조용한 분위기라 대화하기 넘 좋아서 강추한당",커피_음료/베이커리_빵/케이크/공간_편의시설/분위기_감성/혼잡도_웨이팅,긍정/긍정/긍정/긍정/긍정/긍정,,111000110001
맛나요 자주 옵니다,없음,없음,,000000000000
말차 라떼는 말차의 진한 맛이 부드러운 우유와 어울러져서 밸런스가 좋았고 레몬 우롱차는 여름에 마시기 딱 좋은 상쾌한 맛이었어요!,커피_음료,긍정,,100000000000
맛있어요 빵이 든든해서 한끼 식사로도 충분 하네요,베이커리_빵,긍정,,010000000000
에르제 잠봉샌드위치는 언제나 먹어도 맛있죠! 미리 예약하니 너무 편해요. 다른 빵들도 맛있고 동네라 더 좋아요,베이커리_빵/서비스,긍정/긍정,,010000001000
조용하고 대화하기 좋은 카페에용!! 연인이나 친구랑 있기 좋아요,분위기_감성/혼잡도_웨이팅,긍정/긍정,,000000010001
치즈케이크에 대한 인식을 바꿔준 카페 느끼하지도 않고 맛있어서 순삭... 인테리어도 이쁘고 깔끔해서 더 좋았던 서울숲 산책하고 꼭 들려야할 숨은 디저트 맛집 사장님도 너무 친절하셔서 재방문 의사 2000 매주 갈것 같네요 사장님 흥하세요,케이크/분위기_감성/서비스,긍정/긍정/긍정,,001000011000
스벅음료는 말해무엇 너무 맛났어요,커피_음료,긍정,,100000000000
"커피도 빵도 맛있고, 무료 발렛이 좋아요!",커피_음료/베이커리_빵/공간_편의시설,긍정/긍정/긍정,,110000100000
갓구운 파이가 있는 곳 맛있어요,베이커리_빵,긍정,,010000000000
에스프레소가 진하고 맛있었어요. 마스카포네 치즈 에스프레소도 맛났어요.,커피_음료,긍정,,100000000000
시그니처커피향 너무좋고 산미를 싫어한다면 따뜻한 아메리카노 강추,커피_음료,긍정,,100000000000
여기는 아이스라떼 맛집 찐이다,커피_음료,긍정,,100000000000
소금빵 중에 1등이에요! 인천에도 동일한 곳 방문했을 때 맛있었는데 부산도 맛있네요! 롯데 시그니엘 바로 앞에 있어요! 바다 수영 가기 전에 사서 가면 간식으로 따봉입니다,베이커리_빵,긍정,,010000000000
롱블랙 넘나 맛나네요!!,커피_음료,긍정,,100000000000
딸기케이크가 넘넘 먹고싶었는데 최근에 먹은 케이크 중에 젤 맛있는거 같아용 언니랑 좋은 시간 보내다가 갑니당,케이크,긍정,,001000000000
펭귄이 맛있고 에그타르트가 귀여워요,케이크,긍정,,001000000000
디저트 종류 진짜 많고 다 맛있어보였어요!! 소금빵 샀는데 엄청 부드럽고 버터 풍미도 좋았어요 계산이 셀프라서 좀 오래 기다려야하긴 하는데 디저트 좋아하시는 분들한테 완전 강추합니다!,베이커리_빵/혼잡도_웨이팅,긍정/부정,,010000000002
네이버 예약으로 하루 전 픽업 예약으로 품절대란 없이 편하게 이용했습니다 깜빠뉴와 데니쉬가 주력인 집인데 씹을 수록 고소한 맛이 일품입니다 에르제 까놀레가 그렇게 맛있다던데 담에 꼭 먹어 볼랍니다,베이커리_빵/쿠키_구움과자/서비스,긍정/중립/긍정,,010300001000
서울숲 근처라 그런지 가게도 깔끔하고 직원분이 정말 친절했어요,공간_편의시설/서비스,긍정/긍정,,000000101000
디저트 치즈케이크 너므 마싰어요 인테리어도 미드에 나오는 카페처럼 되어있어 분위기도 좋고 예쁘고 사진도 잘나옵니당! 다음엔 꼭 솔티카라멜맛 먹을거예용 좋은 시간 보내고갑니다,케이크/분위기_감성,긍정/긍정,,001000010000
따틋한 분위기에 밝은 장소고 커피도 맛있어요!!!,커피_음료/분위기_감성,긍정/긍정,,100000010000
레몬핀 안의 필링이 되게 상큼새콤해요! 비타민씨 먹는 느낌,베이커리_빵,긍정,,010000000000
노래도 잔잔하고 의자도 푹신해서 좋았어요 음료도 맛있어요,커피_음료/공간_편의시설/분위기_감성,긍정/긍정/긍정,,100000110000
분위기 너무 좋아요!! 편하게 있다가 가겠습니다,공간_편의시설/분위기_감성,긍정/긍정,,000000110000
커피 상담도 친절히 해주시고 맛도 좋았습니다 플로트랑 뉴올리언스 추천드려요,커피_음료/서비스,긍정/긍정,,100000001000
주문받는데 불친절하고 화장실이 매우 더러움,공간_편의시설/서비스,부정/부정,,000000202000
사장님이 정말 친절하시고 인테리어가 너무 예뻐요지난번에 왔다가 너무 예쁘고 음료에 디저트까지 맛있어서 또 왔는데 역시 실패없는 뉴앳던입니다,커피_음료/기타_디저트/분위기_감성/서비스,긍정/긍정/긍정/긍정,,100001011000
"음악,분위기,맛 다 너무 좋아요 무엇보다 소금빵 맛도 좋은데 가격은 거의 절반 수준",베이커리_빵/분위기_감성/가격_가성비,긍정/긍정/긍정,,010000010100
커피도 맛있고 아담하고 매장 귀여워요,커피_음료/공간_편의시설/분위기_감성,긍정/긍정/긍정,,100000110000
매장도 예쁘고 너무 맛있는 디저트가 많아요!!!,분위기_감성,긍정,,000000010000
성수동카페거리에 딸기케이크 맛집을 발견했네요 동물성생크림사용해서 너무 부드럽고 맛있어요,케이크,긍정,,001000000000
토마토바질프렛젤도 굿. 전반적인 퀄리티가 높은 베이커리에요,베이커리_빵,긍정,,010000000000
고양이가 너무 귀여워요!!!! 초콜렛우유도 맛있고 아늑하고 좋습니다,커피_음료/분위기_감성,긍정/긍정,,100000010000
비록 매장 안은 반려동물 입장 불가지만 사장님이 강아지 키우셔서 이런 반려동물 배려가 있어요.,서비스,긍정,,000000001000
쪽파 베이글 너무 맛있어요너무 배고팠는데 한입에 다 먹었어요 다음에 또 올 예정,베이커리_빵,긍정,,010000000000
성수동에 이런 카페가 있었다니.. 인테리어도 너무 이쁘고 디저트도 너무 맛있어요 딸기라떼 수제청 사용하셨는지 달달한게 너무 맛있었고 잠 바치케는 진짜 말모.. 인생 바치케에요 조만간 또 방문할게요!!!,커피_음료/케이크/분위기_감성,긍정/긍정/긍정,,101000010000
우유소금빵 맛있네요 가격은 비싸지만... 커피는 쏘쏘,커피_음료/베이커리_빵/가격_가성비,중립/긍정/부정,,110000000200
케이크랑 크로플 시키면 2단 트레이에 담아주셔요 사진도 잘나오고 디저트도 달달하니 맛있어요!,케이크/기타_디저트/분위기_감성,긍정/긍정/긍정,,001001010000
홍차 수플레는 처음인데 홍차 크림이 향긋하구 너무 맛있어요!! 알로에 에이드도 달구 시원하니 좋네요,커피_음료/케이크,긍정/긍정,,101000000000
노래가 너무 좋아요,분위기_감성,긍정,,000000010000
"디저트와 음료,아이스크림이 너무 예쁘고 맛도 좋아요.",커피_음료/기타_디저트,긍정/긍정,,100001000000
매장이 넓어서 좋네요,공간_편의시설,긍정,,000000100000
참 신기한 디저트카페가 있어서 방문했어요 커피맛 괜찮게 잘 먹었어요,커피_음료,긍정,,100000000000
분위기 맛 향기 온도 완벽해요. 도넛 완전 빠르게 품절되니 일찍 방문 추천!,베이커리_빵/분위기_감성/혼잡도_웨이팅,긍정/긍정/부정,,010000010002
"사장님 인테리어랑 맛개발 감다살 ,,, 번창하세요",분위기_감성/서비스,긍정/긍정,,000000011000
커피도 너무 맛있고 분위기도 좋아요,커피_음료/분위기_감성,긍정/긍정,,100000010000
양 적은 둘이서 먹으려고 산건데 식사를 배불리하고 나서 먹으니까 14 크기로 남았어요!! 배부른데도 계속 맛있네 하면서 한조각만 더먹을까..? 할정도로 너무너무 맛있었어요!!!! 후기에 호불호 안갈리던 것도 이유를 알겠고 체리 콩포트가 신의 한수네요.. 크림 많으면 자칫 물린다 느낄 수도 있는데 체리 콩포트의 상큼함이 그걸 다 잡아줘요! 토핑 쿠키도 먹고나서 찐한 버터향에 여기 구움과자도 궁금해졌네용 픽업시간보다 거의 25분? 일찍갔는데도 금방 예쁘게 포장해서 주셨어요 크기에 비해 조금 비싼가.. 싶었는데 먹고나니까 그런 생각 쏙 들어가고 오히려 크기만 큰 물리는 맛 케이크들을 사먹은 시간들이 아까울정도.. 핀즈 다른 케이크도 너무 궁금해요,케이크/쿠키_구움과자/가격_가성비/선물_포장,긍정/중립/긍정/긍정,,001300000110
아침부지런히 움직인 보람이 있어요! 소세지바게트 겟!! 너무 맛있어요!! 다음에 다시 방문예정,베이커리_빵,긍정,,010000000000
분위기 좋구 직원분들 친절해용 화장실두 깨끗하구욤,공간_편의시설/분위기_감성/서비스,긍정/긍정/긍정,,000000111000
좋았어요 주말 2시간 제한이라 부족하고 아쉬웠어요,공간_편의시설,부정,,000000200000
성수 나들이중 발견한 쿠키맛집 친절하시고 좋아요!,쿠키_구움과자/서비스,긍정/긍정,,000100001000
샌드위치 괜찮아요 가격은 좀 있지만 자주 옵니다. 다양한 베이글 드실 수 있어요 다만 좀 춥습니다,베이커리_빵/공간_편의시설/가격_가성비,긍정/부정/부정,,010000200200
맛있어요 3층까지 있어용,공간_편의시설,긍정,,000000100000
맛있게 먹었어요! 추천해요!,없음,없음,,000000000000
특이한 맛인데 너무 맛있아여! 친구들도 다 맛있대요! 또 와서 먹고싶어요,없음,없음,,000000000000
유튜브보고 와야지와야지 하다가 드디어 왔어요!! 사장님이랑 직원님 모두 넘모 친절하시구 푸딩 만드시는 것만 보다가 드디어 먹을 생각에 설레요!!! 아 역시 맛있네요 너무 행복한 맛이예요,기타_디저트/서비스,긍정/긍정,,000001001000
분위기 조아요! 커피도 맛나요,커피_음료/분위기_감성,긍정/긍정,,100000010000
딸기케이크 정말 너무 맛있습니당,케이크,긍정,,001000000000
상가 화장실이 깔끔해서 좋네요. 서울숲 2번출구랑 500미터정도라 갖고 가기 좋아요!,공간_편의시설,긍정,,000000100000
웨이팅 길고 좀 비싸네용,가격_가성비/혼잡도_웨이팅,부정/부정,,000000000202
피넛버터 사서 선물하려고 방문했어요! 시식해봒는데 너무 고소하고 맛있어요 특별해서 선물하기도 좋은 것 같아요,기타_디저트/선물_포장,긍정/긍정,,000001000010
음료도 맛있고 디저트도 맛있고 자리도 편해서 간단히 작업하거나 대화하기 좋아요,커피_음료/공간_편의시설,긍정/긍정,,100000100000
서울숲을 걷고 바람이 너무 불어 급하게 피해 들어온 카페친구와 간만에 공원뷰 보며 수다,분위기_감성,긍정,,000000010000
성수에 이렇게 맛있면서 분위기 편안하면서 넓은 곳이 있다니 감동적이다. 인스타그래머블하지 않아서 백배 더 좋은 곳,공간_편의시설/분위기_감성,긍정/긍정,,000000110000
제가사는동네파바는 일요일에 가면 메뉴가 별로없는데 여기는 종류가 그래도 다양하게 있네요. 잘 골라서 먹었습니다,베이커리_빵,긍정,,010000000000
주악 진짜 너무 먹고싶었는데 드뎌 와봤어요! 매장도 약과가 전통음식인것처럼 한옥분위기라 너무 좋아요! 다들 오미자차 많이먹던데 날이 추워서 못먹었어요아이스만 가능하다고 하더라구요 다음에 성수오면 한번더 들리려구요!!주악 메뉴도 많은데 소진된메뉴가 많아서 아쉬워요 잘 먹었습니다!!,커피_음료/기타_디저트/분위기_감성/혼잡도_웨이팅,중립/긍정/긍정/부정,,300001010002
베베 복숭아 케이크 상큼한 맛에 반해버렸습니다,케이크,긍정,,001000000000
카페너무 귀엽고 아기자기해요 할로윈컨셉이라 봄에도 10월인것처럼 느껴지네요. 커피맛있는데 디저트가진짜 goat 입니다,커피_음료/분위기_감성,긍정/긍정,,100000010000
올해 생일케이크는 여기!! 크리스마스에 예약 마감이 되어버려서 몇 달전부터 손꼽아 기다렸습니다!! 정말 후회 하나도 없는 맛!! 좋은 생일이 되었습니다,케이크,긍정,,001000000000
자리도 많고 원두도 선택가능. 디카페인있는게 마음에 드네요 디저트도 괜찮아요,커피_음료/공간_편의시설,긍정/긍정,,100000100000
반민초파 남찡구데리고 천국 방문 민트초코칩그린티라떼에 아이스크림 토핑 무료 추가라니 아이스크림너무맛있어여.... 와대박 디저트들도 넘귀엽고 굿즈도 넘귀여워여,커피_음료/기타_디저트/선물_포장,긍정/긍정/긍정,,100001000010
에그타르트랑 휘낭시에가 다양하규 맛잇어여 포장도 깔끔하고 좋습니다!,쿠키_구움과자/선물_포장,긍정/긍정,,000100000010
이런 힙한 감성 분위기가 좋아요!츄로플 주문했는데 너무 맛있고 시그니쳐에이드도 상큼하니 좋네요. 포토죤도 예뻐서 방문했을때 꼭 인증샷남겨야해요! 담번엔 다른 메뉴도 도전해야겠어요! 츄로플 짱맛,커피_음료/기타_디저트/분위기_감성,긍정/긍정/긍정,,100001010000
진짜 맛있고 건강한 음식이 가득해요!,없음,없음,,000000000000
다양한 종류의 쿠키가 있어서 입도 눈도 모두 즐거운 곳이었어요! 매장이 넓고 좌석도 많아서 단체 방문해도 너무 좋을 것 같아요,쿠키_구움과자/공간_편의시설,긍정/긍정,,000100100000
빨리나와서 좋네요. 친절해요,서비스,긍정,,000000001000
빙수 너무 맛있었어여! 망고 당도도 높고 우유얼음도 부드워 너무 맛있었습니당 담에 또 성수오면 가려구요!,빙수_과일,긍정,,000010000000
사진 찍으려고 왔는데 너무 좋았어요 크로플도 맛있었어요 ! 20분 동안 찍는데 너무 짧지도 길지도 않아서 재미있게 찍을 수 있었던 것 같아요 담에 또 방문할게요,기타_디저트/분위기_감성,긍정/긍정,,000001010000
좌석도 괜찮고 시원했고 사장님도 넘 친절하셔요!! 커피도 맛있습니다 굿굿,커피_음료/공간_편의시설/서비스,긍정/긍정/긍정,,100000101000
"케이크 모양과 맛 두가지 토끼를 잡고 싶다면 여기로 케이크 광으로써 맛없는 케이크 진짜 싫어하는데 여긴 치즈, 밤, 머랭의 조화와 단맛의 적당함이 딱 좋아요 왕 추천 합니다!",케이크,긍정,,001000000000
"알록달록 곳곳이 감성인 예쁜 카페. 넓고 감성져서 그런지 음료가 많이 비쌈 자몽 스무디 마이애미? 가 8,500원 .. 그래도 인테리어 예뻐서 인스타 하는 사람이면 한번쯤은 가볼만하다",커피_음료/공간_편의시설/분위기_감성/가격_가성비,부정/긍정/긍정/부정,,200000110200
배달빠르고 아주 좋아요,서비스,긍정,,000000001000
비가 엄청오는 평일 오후 5시쯤갔는데 시그니처커피가 솔드아웃되어서 바닐라라떼를 마셨는데 그냥 라떼같았어요 팡도르도 구경도 못했네요 생각보다 선택할게 없어 아쉬웠어요 좌석도 불편해서 기대를 해서 그런지 실망한게 많네요,커피_음료/베이커리_빵/공간_편의시설/혼잡도_웨이팅,중립/부정/부정/부정,,320000200002
커피가 너무 맛있고 다양한 시그니처 메뉴가 많아요 ! 매장도 아늑하고 성수오면 또 방문하고 싶은 카페입니당,커피_음료/분위기_감성,긍정/긍정,,100000010000
디저트 다양해서 조와욜,없음,없음,,000000000000
기념일이라 케이크때문에 방문했는데 카페가 일단 너무 예쁘고 베이커리도 맛나보였어요! 케이크도 심플하고 너무 예뻐요,베이커리_빵/케이크/분위기_감성,긍정/긍정/긍정,,011000010000
초코 베이글에 메이플 피칸 조합 미쳐요 메이플 피칸 최고입니다 추천,베이커리_빵/쿠키_구움과자,긍정/긍정,,010100000000
성수에 생긴 보물같은 곳 lp 입문하기 좋아요,분위기_감성,긍정,,000000010000
그냥 무신사 쿠폰쓰러,없음,없음,,000000000000
인테리어도 재밌고 맛도 너무 좋아요! 추천해요!,분위기_감성,긍정,,000000010000
커피랑 베이글 너무 맛있어요!!! 추가로 또 사먹음,커피_음료/베이커리_빵,긍정/긍정,,110000000000
"브런치도 맛있었고, 팬케이크도 후식으로 잘 먹었습니다",베이커리_빵/케이크,긍정/긍정,,011000000000
일요일 아침10시40분에 갔는데 1시간 10분동안 웨이팅해서 빵사왔어요! 엄청나요!,베이커리_빵/혼잡도_웨이팅,긍정/부정,,010000000002
커피가 맛있어서 자주 오게 되요,커피_음료,긍정,,100000000000
치즈브레드가 너무 맛잇어요. 치즈 JMT . 사람들이 많은 이유를 알겟어요,베이커리_빵/혼잡도_웨이팅,긍정/부정,,010000000002
사람이 정말 많네요.... 소금빵은 맛있었어요,베이커리_빵/혼잡도_웨이팅,긍정/부정,,010000000002
"맛있긴한데 망고 후숙이 안되어있어 망고가 달지가 않네요 ... 그래서 그런지 망고와 생크림이 따로노는 느낌이있었어요 개인적으로는 망고 잼이 들어가면 어떨까 싶네요, 그리고 주로 스카치테이프로 포장하시던데 그거말고 조립식으로 상자를만드는게 보기에 좋아보여요 열기에도 불편하고 보기에 좋지 않았네요 .. 사장님과 알바생은 엄청 친절하셔서 다시 갈 마음이 있는데, 망고 케이크보다는 다른 케이크를 시도해 볼것같아요 한번쯤 먹을만하고 망고가 푸짐하게 들어있어서 마음에 듭니다",케이크/빙수_과일/서비스/선물_포장,중립/부정/긍정/부정,,003020001020
손님이 이리 많은데 키오스크 달랑 한대,공간_편의시설/혼잡도_웨이팅,부정/부정,,000000200002
분위기도 넘좋고 커피가맛있었어요 다만 장소가 조금 좁아용,커피_음료/공간_편의시설/분위기_감성,긍정/부정/긍정,,100000210000
인테리어가 너무너무 예뻐요! 커피도 맛있고 빵도 정말 맛있었어요. 담엔 다른 디저트 먹어보려구여 카페 분위기가 너무 좋아서 애인이랑 조근조근 얘기나누기 좋은 카페라고 생각돼용! 집근처라 자주 올 예정..,커피_음료/베이커리_빵/분위기_감성,긍정/긍정/긍정,,110000010000
