text,aspect,sentiment,keywords,label
쓴맛이 너무 강해서 시럽 없이는 도저히 못 마실 정도입니다.,커피음료,Negative,"쓴맛 너무 강해서, 못 마실 정도",200000000000
커피 원두 신선도가 떨어지는 것 같아요. 향이 너무 약하네요.,커피음료,Negative,"신선도 떨어짐, 향 너무 약함",200000000000
여기 커피 맛있다고 해서 왔는데 제 입맛에는 너무 안 맞고 맛없어요.,커피음료,Negative,"입맛 안 맞고, 맛없어요",200000000000
아인슈페너 커피 맛이 너무 연해서 크림 맛밖에 안 느껴지네요.,커피음료,Negative,"커피 맛 너무 연해서, 크림 맛밖에",200000000000
커피 끝맛이 너무 써서 입안에 불쾌한 맛이 계속 남아요.,커피음료,Negative,"끝맛 너무 써서, 불쾌한 맛",200000000000
탄 향이 너무 강해서 원두 본연의 맛을 전혀 느낄 수가 없습니다.,커피음료,Negative,"탄 향 너무 강해서, 느낄 수 없음",200000000000
아메리카노가 너무 시고 떫어서 한 입 먹고 못 마시겠더라고요.,커피음료,Negative,"너무 시고 떫어서, 못 마시겠음",200000000000
커피 농도가 너무 들쑥날쑥해요. 오늘은 너무 싱거워서 별로네요.,커피음료,Negative,"농도 들쑥날쑥, 싱거워서, 별로",200000000000
라떼 거품이 너무 거칠고 커피랑 겉도는 느낌이라 맛없습니다.,커피음료,Negative,"거품 거칠고, 겉도는 느낌, 맛없음",200000000000
커피 원두에서 퀴퀴한 냄새가 나는 것 같아서 찝찝했어요.,커피음료,Negative,"퀴퀴한 냄새, 찝찝",200000000000
기대하고 마신 커피인데 생각보다 너무 평범하고 맛이 없네요.,커피음료,Negative,평범하고 맛없네요,200000000000
커피 맛이 너무 가볍고 향이 금방 날아가 버려서 실망스러워요.,커피음료,Negative,"맛 너무 가볍고, 향 금방 날아감, 실망",200000000000
가격은 비싼데 커피 맛은 그 값을 전혀 못 하는 것 같습니다.,커피음료,Negative,"비싼데, 값을 전혀 못 함",200000000000
커피 맛은 그냥 무난한 편이라 크게 호불호가 갈리지 않을 것 같아요.,커피음료,Neutral,"무난한 편, 호불호 갈리지 않을 듯",300000000000
평범한 아이스 아메리카노 맛입니다. 특별히 좋지도 나쁘지도 않아요.,커피음료,Neutral,"평범한, 좋지도 나쁘지도 않음",300000000000
프랜차이즈 카페에서 흔히 마실 수 있는 그런 커피 맛이네요.,커피음료,Neutral,"흔히 마실 수 있는, 커피 맛",300000000000
산미는 거의 없는 편이고 적당히 쌉싸름한 맛이 납니다.,커피음료,Neutral,"산미 거의 없는, 쌉싸름",300000000000
"커피 퀄리티는 평균 수준인데, 개인 취향에 따라 다르게 느낄 것 같네요.",커피음료,Neutral,"평균 수준, 취향에 따라",300000000000
원두 선택지가 여러 개라 취향껏 고르면 될 것 같은 정도입니다.,커피음료,Neutral,"원두 선택지, 취향껏",300000000000
맛이 아주 깊지는 않지만 식후에 가볍게 마시기에는 나쁘지 않아요.,커피음료,Neutral,"아주 깊지는 않지만, 나쁘지 않아요",300000000000
뜨거울 때 마시는 거랑 식었을 때 마시는 맛의 차이가 좀 있는 편입니다.,커피음료,Neutral,온도에 따른 맛 차이,300000000000
에스프레소 베이스가 아주 진하지는 않지만 적당히 고소합니다.,커피음료,Neutral,"진하지는 않지만, 적당히 고소",300000000000
일반적인 카페 커피 맛이라 예상 가능한 범위 내의 맛입니다.,커피음료,Neutral,"일반적인, 예상 가능한",300000000000
아메리카노 농도가 적당해서 그냥 가볍게 마시기 괜찮네요.,커피음료,Neutral,"농도 적당, 가볍게 마시기",300000000000
커피 향은 은은한 편이고 맛은 적당히 대중적인 느낌이에요.,커피음료,Neutral,"은은한 편, 대중적인 느낌",300000000000
특별한 개성은 없지만 실패 없는 무난한 커피 맛입니다.,커피음료,Neutral,"개성 없지만, 무난한",300000000000
커피 맛이 아주 강하지 않아서 연하게 드시는 분들께 맞을 듯해요.,커피음료,Neutral,"아주 강하지 않아서, 연하게",300000000000
그냥 동네 카페에서 흔히 느낄 수 있는 그런 커피 맛입니다.,커피음료,Neutral,"동네 카페, 흔히 느낄 수 있는",300000000000
우유 맛이 좀 더 강한 라떼인데 그냥저냥 마실만합니다.,커피음료,Neutral,"우유 맛 강한, 그냥저냥 마실만",300000000000
커피 원두 풍미가 보통 수준이라 특별히 기억에 남지는 않네요.,커피음료,Neutral,"풍미 보통, 기억에 남지 않음",300000000000
쓴맛과 고소함이 적당히 섞여 있는 평범한 커피입니다.,커피음료,Neutral,"쓴맛, 고소함, 평범한",300000000000
가격 대비 적당한 수준의 커피 맛이라고 생각됩니다.,커피음료,Neutral,가격 대비 적당한 수준,300000000000
커피 맛이 매번 일정한 편이라 그냥 믿고 마시는 정도예요.,커피음료,Neutral,매번 일정한 편,300000000000
엄청 맛있는 건 아닌데 가끔 생각나면 들를만한 커피 맛입니다.,커피음료,Neutral,"엄청 맛있는 건 아닌데, 들를만한",300000000000
그냥 시원한 맛에 마시는 아이스 아메리카노예요. 보통입니다.,커피음료,Neutral,"시원한 맛, 보통",300000000000
커피의 산미나 바디감이 튀지 않고 평이한 밸런스네요.,커피음료,Neutral,"튀지 않고, 평이한 밸런스",300000000000
주변에서 흔히 마시는 커피 맛이랑 큰 차이는 없는 것 같아요.,커피음료,Neutral,큰 차이 없는 것 같음,300000000000
샷 추가를 하면 더 나을 것 같기도 한 평범한 농도입니다.,커피음료,Neutral,평범한 농도,300000000000
커피 맛이 아주 깔끔한 건 아닌데 그래도 마실만은 하네요.,커피음료,Neutral,"아주 깔끔한 건 아닌데, 마실만",300000000000
무난하게 마실 수 있는 적당한 쓴맛의 아메리카노입니다.,커피음료,Neutral,"적당한 쓴맛, 무난",300000000000
커피가 아주 진하지는 않지만 부담 없이 넘어가네요.,커피음료,Neutral,"진하지 않지만, 부담 없이",300000000000
그냥 평소에 즐겨 마시는 그런 일반적인 커피의 맛이에요.,커피음료,Neutral,"평소에 즐겨 마시는, 일반적인",300000000000
"특별히 칭찬할 점도, 비판할 점도 없는 무난한 퀄리티입니다.",커피음료,Neutral,"특별히 칭찬할 점도, 비판할 점도 없는",300000000000
소금빵이 겉은 바삭하고 속은 촉촉해서 인생 빵집 등극입니다.,베이커리빵,Positive,"소금빵, 겉바속촉, 인생 빵집",010000000000
베이글이 아주 쫄깃하고 담백해서 식사 대용으로 최고예요.,베이커리빵,Positive,"베이글, 쫄깃, 식사 대용",010000000000
샌드위치 속 재료가 신선하고 빵이 고소해서 건강한 맛입니다.,베이커리빵,Positive,"샌드위치 신선, 고소함, 건강한 맛",010000000000
천연 발효종을 써서 그런지 빵이 담백하고 소화가 잘 돼요.,베이커리빵,Positive,"천연 발효종, 담백, 소화 잘 됨",010000000000
갓 구워 나온 식빵의 결이 살아있고 정말 부드럽습니다.,베이커리빵,Positive,"식빵 결, 부드러움, 갓 구워낸",010000000000
치아바타가 자극적이지 않고 씹을수록 고소한 풍미가 올라와요.,베이커리빵,Positive,"치아바타, 고소한 풍미, 자극적이지 않음",010000000000
깜빠뉴 안에 견과류가 가득 들어있어 씹는 맛이 일품입니다.,베이커리빵,Positive,"깜빠뉴, 견과류 가득, 씹는 맛",010000000000
호밀빵인데도 전혀 퍽퍽하지 않고 촉촉해서 놀랐어요.,베이커리빵,Positive,"호밀빵, 퍽퍽하지 않음, 촉촉",010000000000
이 집 잠봉뵈르는 바게트가 입천장 안 아프게 바삭해서 좋네요.,베이커리빵,Positive,"잠봉뵈르, 바게트 바삭, 만족",010000000000
식사 빵 종류가 다양해서 골라 먹는 재미가 있고 다 맛있어요.,베이커리빵,Positive,"종류 다양, 골라 먹는 재미",010000000000
무설탕 빵인데도 이렇게 감칠맛이 나다니 정말 실력이 좋으시네요.,베이커리빵,Positive,"무설탕, 감칠맛, 실력 좋음",010000000000
올리브가 듬뿍 들어간 포카치아가 짭짤하고 아주 쫄깃합니다.,베이커리빵,Positive,"올리브 포카치아, 짭짤, 쫄깃",010000000000
아침마다 여기서 샌드위치 사 먹는데 재료가 정말 알차요.,베이커리빵,Positive,"샌드위치, 재료 알참, 아침 식사",010000000000
빵 자체가 맛있어서 잼 없이 그냥 먹어도 충분히 맛있습니다.,베이커리빵,Positive,"빵 자체가 맛있음, 그냥 먹어도",010000000000
쌀 식빵이라 그런지 쫀득함이 일반 빵이랑은 차원이 다르네요.,베이커리빵,Positive,"쌀 식빵, 쫀득함, 차원이 다름",010000000000
크루아상 결이 촘촘하고 버터 향이 진해서 아주 고급스러워요.,베이커리빵,Positive,"크루아상 결, 버터 향, 고급스러움",010000000000
담백한 빵 좋아하시는 분들이라면 여기가 성지일 것 같아요.,베이커리빵,Positive,"담백한 빵, 성지, 추천",010000000000
통밀빵의 구수한 향이 코끝을 자극해서 입맛을 돋우네요.,베이커리빵,Positive,"통밀빵, 구수한 향, 입맛 돋움",010000000000
베이글에 크림치즈 조합이 환상적이라 순삭했습니다.,베이커리빵,Positive,"베이글 크림치즈, 환상적, 순삭",010000000000
샌드위치 야채가 아삭아삭하고 빵이랑 조화가 완벽합니다.,베이커리빵,Positive,"야채 아삭, 조화 완벽",010000000000
식사 대용으로 먹기 좋은 든든한 빵들이 많아서 자주 와요.,베이커리빵,Positive,"식사 대용, 든든함, 자주 옴",010000000000
여기 소금빵은 버터 동굴이 제대로 형성되어 있어 정석이네요.,베이커리빵,Positive,"소금빵, 버터 동굴, 정석",010000000000
빵이 질기지 않고 부드럽게 찢어지는 게 반죽을 잘하신 듯요.,베이커리빵,Positive,"부드럽게 찢어짐, 반죽 잘함",010000000000
치즈가 콕콕 박힌 식빵이 짭조름하니 자꾸 손이 가요.,베이커리빵,Positive,"치즈 식빵, 짭조름, 자꾸 손이 감",010000000000
고소한 곡물 빵 종류가 많아서 부모님도 정말 좋아하셨어요.,베이커리빵,Positive,"곡물 빵, 부모님 좋아하심",010000000000
바게트 속살이 너무 촉촉해서 샌드위치로 먹기 딱입니다.,베이커리빵,Positive,"바게트 속살 촉촉, 딱임",010000000000
갓 나온 따끈한 식빵 한 줄 다 먹을 수 있을 정도로 맛나요.,베이커리빵,Positive,"따끈한 식빵, 맛나요",010000000000
담백하면서도 풍미가 깊은 빵들이라 매일 먹어도 안 질려요.,베이커리빵,Positive,"담백, 풍미 깊음, 안 질림",010000000000
베이글 종류가 이렇게 많은 곳은 처음 봐요. 다 먹어보고 싶네요.,베이커리빵,Positive,"베이글 종류, 다 먹어보고 싶음",010000000000
샌드위치 소스가 과하지 않아 빵 맛을 잘 살려줘서 좋아요.,베이커리빵,Positive,"소스 과하지 않음, 빵 맛 살림",010000000000
소금빵이 너무 딱딱해서 씹기가 힘들고 턱이 아팠어요.,베이커리빵,Negative,"딱딱해서, 씹기 힘듦",020000000000
샌드위치 내용물이 너무 부실해서 가격 대비 실망스러웠습니다.,베이커리빵,Negative,"내용물 부실, 실망",020000000000
베이글이 질겨도 너무 질겨서 고무 씹는 느낌이었네요.,베이커리빵,Negative,"질겨서, 고무 씹는 느낌",020000000000
빵에서 밀가루 풋내가 좀 나고 덜 익은 것 같은 느낌이에요.,베이커리빵,Negative,"밀가루 풋내, 덜 익은 느낌",020000000000
치아바타가 너무 건조해서 입안의 수분을 다 뺏어가는 것 같아요.,베이커리빵,Negative,"건조해서, 수분 뺏김",020000000000
식사 대용 빵이라더니 간이 너무 세서 짜게 느껴졌습니다.,베이커리빵,Negative,"간이 너무 세서, 짜게 느껴짐",020000000000
식빵이 푸석푸석해서 잼을 발라도 맛이 없더라고요.,베이커리빵,Negative,"푸석푸석, 맛없음",020000000000
샌드위치 야채 물기 제거가 안 됐는지 빵이 다 젖어있네요.,베이커리빵,Negative,"야채 물기, 빵 젖음, 별로",020000000000
담백한 게 아니라 아무 맛도 안 나서 무미건조한 빵입니다.,베이커리빵,Negative,"아무 맛 안 남, 무미건조",020000000000
빵 가격은 비싼데 크기가 너무 작아서 가성비가 떨어져요.,베이커리빵,Negative,"가격 비쌈, 크기 작음, 가성비 낮음",020000000000
바게트가 너무 오버쿡 된 건지 겉이 너무 타서 써요.,베이커리빵,Negative,"오버쿡, 겉이 탐, 씀",020000000000
호밀빵이 너무 퍽퍽해서 물 없이는 한 입도 못 먹겠어요.,베이커리빵,Negative,"퍽퍽해서, 못 먹겠음",020000000000
베이글이 데워져 나왔는데도 속이 차갑고 딱딱하네요.,베이커리빵,Negative,"속이 차갑고, 딱딱함",020000000000
빵 종류는 많은데 정작 먹을만한 식사 빵이 별로 없어요.,베이커리빵,Negative,"종류는 많지만, 먹을 게 없음",020000000000
샌드위치 소스가 너무 과해서 빵이 눅눅하고 느끼했습니다.,베이커리빵,Negative,"소스 과함, 눅눅, 느끼",020000000000
소금빵 밑면이 너무 기름져서 손에 기름이 잔뜩 묻네요.,베이커리빵,Negative,"밑면 기름짐, 기름 잔뜩",020000000000
식빵 결이 하나도 안 느껴지고 뭉쳐있는 느낌이라 별로예요.,베이커리빵,Negative,"결 안 느껴짐, 뭉쳐있음, 별로",020000000000
재료 아끼시는 건지 샌드위치에 햄 한 장 들어있어 당황했네요.,베이커리빵,Negative,"재료 아낌, 당황, 부실",020000000000
빵 신선도가 떨어지는 것 같아요. 만든 지 오래된 느낌입니다.,베이커리빵,Negative,"신선도 떨어짐, 오래된 느낌",020000000000
베이글 크림치즈 양이 너무 적어서 빵만 먹는 기분이었어요.,베이커리빵,Negative,"크림치즈 양 적음, 빵만 먹는 기분",020000000000
천연 발효 빵이라는데 시큼한 맛이 너무 강해서 거부감 드네요.,베이커리빵,Negative,"시큼한 맛 강함, 거부감",020000000000
샌드위치 포장이 제대로 안 돼서 내용물이 다 흘러나왔어요.,베이커리빵,Negative,"포장 불량, 내용물 흘러나옴",020000000000
빵이 전반적으로 너무 퍽퍽해서 식감이 좋지 않습니다.,베이커리빵,Negative,"퍽퍽함, 식감 좋지 않음",020000000000
담백함을 기대했는데 버터가 너무 많이 들어가서 느끼해요.,베이커리빵,Negative,"버터 많음, 느끼함",020000000000
빵 겉면이 너무 질겨서 칼로 썰리지도 않을 정도네요.,베이커리빵,Negative,"겉면 질김, 썰리지 않음",020000000000
샌드위치 식빵이 눅눅해져서 식감이 정말 별로였습니다.,베이커리빵,Negative,"식빵 눅눅, 식감 별로",020000000000
베이글 반죽이 덜 된 건지 속이 떡진 것 같은 느낌이에요.,베이커리빵,Negative,"반죽 덜 됨, 떡진 느낌",020000000000
가격 대비 빵의 퀄리티가 편의점 빵이랑 다를 게 없네요.,베이커리빵,Negative,"퀄리티 낮음, 편의점 빵 수준",020000000000
식사 빵들이 너무 금방 딱딱해져서 포장해오니 못 먹겠어요.,베이커리빵,Negative,"금방 딱딱해짐, 못 먹겠음",020000000000
빵 향기가 안 나고 그냥 무취의 밀가루 덩어리 같아요.,베이커리빵,Negative,"향기 안 남, 밀가루 덩어리",020000000000
식사 빵 종류는 무난하게 있는 편이고 맛도 평범합니다.,베이커리빵,Neutral,"종류 무난, 맛 평범",030000000000
소금빵 맛은 어디서나 먹을 수 있는 일반적인 맛이에요.,베이커리빵,Neutral,"일반적인 맛, 무난",030000000000
샌드위치 내용물 구성은 적당하고 한 끼 때우기 괜찮아요.,베이커리빵,Neutral,"구성 적당, 한 끼 때우기 괜찮음",030000000000
베이글이 아주 쫄깃하진 않지만 그냥저냥 먹을만해요.,베이커리빵,Neutral,"아주 쫄깃하진 않지만, 먹을만함",030000000000
담백한 빵 위주라 자극적인 맛 좋아하시면 심심할 수 있어요.,베이커리빵,Neutral,"담백함, 심심할 수 있음",030000000000
식빵 크기는 적당하고 가격도 주변 카페랑 비슷합니다.,베이커리빵,Neutral,"크기 적당, 가격 비슷",030000000000
데워달라고 하면 데워주는데 따뜻할 때 먹는 게 낫네요.,베이커리빵,Neutral,"데워 먹는 게 나음, 보통",030000000000
곡물 빵 종류가 몇 가지 있는데 맛은 다 고만고만해요.,베이커리빵,Neutral,"종류 몇 가지, 고만고만",030000000000
샌드위치 채소는 싱싱한 편인데 소스 맛이 좀 강하네요.,베이커리빵,Neutral,"채소 싱싱, 소스 맛 강함",030000000000
빵이 아주 부드럽지는 않고 적당히 씹는 맛이 있는 편입니다.,베이커리빵,Neutral,"아주 부드럽진 않음, 적당한 식감",030000000000
호밀빵 특유의 거친 느낌이 있는데 호불호가 갈릴 듯해요.,베이커리빵,Neutral,"거친 느낌, 호불호 갈릴 듯",030000000000
동네 빵집에서 파는 담백한 빵들이랑 큰 차이는 없습니다.,베이커리빵,Neutral,"큰 차이 없음, 보통",030000000000
베이글에 발라 먹는 크림치즈는 별도로 구매해야 합니다.,베이커리빵,Neutral,크림치즈 별도 구매,030000000000
샌드위치 메뉴가 몇 가지 안 돼서 선택의 폭은 좁아요.,베이커리빵,Neutral,"메뉴 적음, 선택 폭 좁음",030000000000
빵이 좀 묵직한 편이라 하나만 먹어도 배가 부르네요.,베이커리빵,Neutral,"묵직함, 배부름",030000000000
늦게 가면 식사 빵 종류가 많이 빠져서 일찍 가야 해요.,베이커리빵,Neutral,"일찍 가야 함, 품절 주의",030000000000
식감은 쫄깃하기보다는 부드러운 쪽에 가까운 빵입니다.,베이커리빵,Neutral,부드러운 식감,030000000000
샌드위치 포장은 깔끔하게 잘 되어 나오는 편이에요.,베이커리빵,Neutral,"포장 깔끔, 보통",030000000000
소금빵의 짠맛이 강하지 않아서 담백하게 먹기 좋아요.,베이커리빵,Neutral,"짠맛 강하지 않음, 담백",030000000000
특별히 맛있지도 맛없지도 않은 기본적인 빵 맛입니다.,베이커리빵,Neutral,"기본적인 빵 맛, 보통",030000000000
커피랑 곁들여 먹기에 적당한 크기의 식사 빵들입니다.,베이커리빵,Neutral,"곁들이기 적당, 보통 크기",030000000000
빵이 아주 신선한 느낌은 아니지만 그렇다고 오래된 것도 아니에요.,베이커리빵,Neutral,보통의 신선도,030000000000
치아바타는 샌드위치용으로 쓰기 적당한 두께네요.,베이커리빵,Neutral,샌드위치용 적당,030000000000
빵 구성이 건강식 위주라 다이어트하시는 분들께 괜찮을 듯.,베이커리빵,Neutral,"건강식 위주, 다이어트용",030000000000
바게트의 겉면이 적당히 바삭해서 무난하게 먹었습니다.,베이커리빵,Neutral,"적당히 바삭, 무난",030000000000
식빵의 향이 아주 진하지는 않지만 은은하게 나네요.,베이커리빵,Neutral,"은은한 향, 보통",030000000000
베이글을 살짝 구워주면 더 맛있을 것 같은 느낌입니다.,베이커리빵,Neutral,구우면 더 나을 듯,030000000000
샌드위치 안에 들어간 소스 양이 적당해서 무난해요.,베이커리빵,Neutral,"소스 양 적당, 무난",030000000000
빵 종류별로 나오는 시간이 정해져 있으니 참고하세요.,베이커리빵,Neutral,빵 나오는 시간 참고,030000000000
그냥 한 번쯤 먹어볼 만한 평범한 식사 대용 빵입니다.,베이커리빵,Neutral,"한 번쯤 먹어볼 만함, 평범",030000000000
생크림이 전혀 느끼하지 않고 고소해서 입안에서 사르르 녹네요.,케이크,Positive,"생크림, 고소함, 사르르 녹음",001000000000
딸기 케이크에 딸기가 층층이 듬뿍 들어있어서 돈이 안 아까워요.,케이크,Positive,"딸기 듬뿍, 돈 안 아까움, 만족",001000000000
생일 케이크 예약했는데 디자인이 너무 예뻐서 주인공이 정말 좋아했어요.,케이크,Positive,"생일 케이크 디자인, 대만족",001000000000
치즈 케이크가 아주 꾸덕하고 진해서 깊은 풍미가 느껴집니다.,케이크,Positive,"치즈 케이크, 꾸덕함, 깊은 풍미",001000000000
티라미수 시트가 커피에 촉촉하게 적셔져 있어 풍미가 예술입니다.,케이크,Positive,"티라미수, 촉촉한 시트, 예술",001000000000
케이크 시트 자체가 너무 부드러워서 몇 번 안 씹어도 넘어가요.,케이크,Positive,"부드러운 시트, 식감 최고",001000000000
초코 케이크인데 인위적인 단맛이 아니라 고급스러운 초코 맛이에요.,케이크,Positive,"초코 케이크, 고급스러운 단맛",001000000000
조각 케이크 크기가 다른 곳보다 큼직해서 나눠 먹기 충분했습니다.,케이크,Positive,"큼직한 크기, 넉넉함, 만족",001000000000
특별한 날 홀케이크 주문했는데 레터링도 정성스럽고 아주 예뻤어요.,케이크,Positive,"홀케이크 주문, 레터링 정성, 만족",001000000000
타르트지가 바삭하고 위에 올라간 과일 당도가 최고입니다.,케이크,Positive,"바삭한 타르트, 과일 당도 최고",001000000000
여기 얼그레이 케이크는 향이 은은하게 퍼지는 게 정말 매력적이네요.,케이크,Positive,"얼그레이 향, 매력적, 맛있음",001000000000
동물성 생크림을 쓰시는지 뒷맛이 깔끔하고 아주 담백합니다.,케이크,Positive,"동물성 생크림, 깔끔한 뒷맛, 담백",001000000000
당근 케이크에 크림치즈 배합이 환상이라 인생 케이크 찾았네요.,케이크,Positive,"당근 케이크, 크림치즈 조화, 인생 케이크",001000000000
기념일마다 여기서 케이크 사는데 한 번도 실패한 적이 없어요.,케이크,Positive,"기념일 케이크, 실패 없음, 믿고 먹음",001000000000
