text,text_en
별거 아닌 거 같았는데도 힐링됐고요 앞으로 꾸준히 한교동 생일파티 열어줬으면 좋겠어요,"Even though it didn't seem like a big deal, I was healed. I hope they continue to hold Hangyo-dong birthday parties in the future."
채광도 좋고 분위기도 좋습니당~,The lighting is good and the atmosphere is nice.
"성수동 왔다가 잠시 드른 소금빵 맛집~ 더위를 날릴 시원한 아이스 커피와 오미자, 리치팝 피치에이드도 맛있네요~","I stopped by a famous salt bread restaurant after coming to Seongsu-dong. The cool iced coffee, Schisandra chinensis, and lychee pop peachade to beat the heat are also delicious~"
하지만 고소한 빵 냄새에 홀려서 바로 웨이팅 했답니다 줄 금방 빠지니까 번호표 받구 바로 옆에 줄서서 기다리세용,"However, I was so captivated by the fragrant smell of bread that I immediately waited in line. The line moved quickly, so get a number and wait in line right next to it."
근데 저녁에 먹어도 맛있더라구요,But it was delicious even if I ate it for dinner.
하나에 3천원씩 4개씩 세트로 팔더라고요,"They sold it as a set of 4 for 3,000 won each."
"음료의 맛뿐만 아니라 플레이팅도 깔끔하고 예쁘게 나와서 눈으로 먼저 즐길 수 있었고, 친구들과 편하게 대화 나누며 여유를","Not only did the drink taste good, but the plating was neat and pretty, so I was able to enjoy it with my eyes first, and I could relax and chat comfortably with my friends."
"피치파운드(4500), 햄앤치즈샌드위치(5700), 치킨바게뜨(7000), 솔티드바게트(4200), 아이스라떼(7000), 핑크블렌디(12000), 아이스아메리카노(5000)","Peach Pound (4500), Ham & Cheese Sandwich (5700), Chicken Baguette (7000), Salted Baguette (4200), Iced Latte (7000), Pink Blendy (12000), Iced Americano (5000)"
커피도 맛있고 야외 좌석도 좋았어요!,The coffee was delicious and the outdoor seating was great!
구테로이테 커피 맛있는건 이미 유명하고 항상 모든지점이 인테리어힙하고 분위기좋아서 자주들러요~제 최애 카페입니다,"Guteroite's coffee is already famous for its delicious coffee, and all branches have hip interior design and great atmosphere, so I visit often. It's my favorite cafe."
"[ 대기 ] 항상 대기줄이 길어서 미루다가 한번 대기해봤는데, 줄은 길어도 결제부터 픽업까지 10분도 안 걸렸어요.","[Waiting] The waiting line was always long, so I put it off and waited once, and even though the line was long, it took less than 10 minutes from payment to pickup."
엄마가 여기서 에스프레소에 입문해서 이후로도 많이 마셔봤는데 여기 원두향이 제일 좋고 맛있대요,"My mom started drinking espresso here and has been drinking it a lot ever since, and she says the coffee beans here have the best flavor and taste."
"키오스크 주문, 빵 선택, 카드 결제를 손님이 하는 게 아니라 직원이 빨리 물어보고 후다닥 하고 빵 받는 줄로 빨리 가게 하려는 것 같았어요.","Rather than having customers order at the kiosk, select bread, and pay by credit card, it seemed like the staff was trying to get them to quickly ask questions and quickly get to the bread receiving line."
넓고 깨끗하고 조용해요,"Spacious, clean and quiet"
"직원분들 친절하시고 분위기도 좋음, 무엇보다 커피맛이 좋습니다.","The staff is friendly, the atmosphere is nice, and most of all, the coffee tastes good."
기다림에 누구든 한번씩은 시도하겠지만 - 재구매는 안할 것이다.,Anyone who wants to wait will try it at least once - but I won't buy it again.
너무 좋은 장소네요,It's such a nice place
흑임자 오란다 + 녹차믹스커피 맛있어요!!,Black Sesame Oranda + Green Tea Mix Coffee is delicious!!
또 방문하고싶습니다 ..ෆ,I want to visit again..ෆ
카페가 크진 않지만 카운터와 좌석 공간이 분리돼있어 부담스럽지 않아 좋아요,"The cafe is not large, but the counter and seating area are separated, so it doesn't feel overwhelming."
소금빵 맛있게 잘 먹었습니다.,I enjoyed the salt bread.
갓 나오는 시간이 정해져있다하니 시간 확인하시고 시간 맞춰서 방문하시는걸 더더더더더더더 추천드립니다 !,"Since there is a set time for the food to come out, I highly recommend checking the time and visiting on time!"
공간도 넓고 혼자 작업하기도 좋은 공간🥰 성수에서 유니크한 공간이에요:),It's spacious and great for working alone🥰 It's a unique space in Seongsu :)
따뜻할때 먹어야 되용,You have to eat it while it's warm.
차를 거의 매일 우려 마실 정도로 좋아해서 신사점을 가려고 했는데 성수점을 새로 오픈했다고 하여 빠르게 방문했어요!,"I love tea so much that I drink it almost every day, so I was planning to go to the Sinsa branch, but I heard that the Seongsu branch had just opened, so I quickly went there!"
이벤트가 잇어서 카페에 찾아서 왔는데 하얀 인테리어에 깔끔하고 좋앗습니당,"I came to the cafe because there was an event, and it was nice and clean with a white interior."
성수에 이렇게 분위기 좋고 이쁜 카페가 있는지 몰랐어요!,I didn’t know there was such a beautiful and atmospheric cafe in Seongsu!
귀여운 커퓌😛 기다림 없이 들어올 수 있는 월요일,Cute coffee😛 Mondays you can come in without waiting
좁은 곳은 반려동물 동반가눙이여도 불편해서 잘 안가게 되는데 분위기가 너무 무겁지도 않고 소파 좌석도 편해서 아이 올려놓고 음료와 빵 즐기다 가기 좋아용,"Even if you are traveling with a pet, I don't go because it's a small place because it's uncomfortable, but the atmosphere isn't too heavy and the sofa seats are comfortable, so it's good to put your child on it and enjoy drinks and bread."
다른 에쏘바에서 맛보지 못한 독특한 맛의 조합 그라니따와 고소한 넛슈페너 메뉴가 맘에 들었고 매장도 넓고 북적여도 귀가 아프지않아 대화하기 적당해서 잘 머물다 갑니다!,"I liked the granita and savory nut penner menu, which is a unique combination of flavors that I haven't tried at other Esso bars. The store is spacious and even though it's crowded, my ears don't hurt, so it's good for conversation, so I had a great stay!"
퇴근하고 먹었더니 감동이줄어듬,I ate it after work and felt less impressed.
"소금빵 파는곳, 4개에 12000원.","A place that sells salt bread, 12,000 won for 4 pieces."
디올 청담에서의 좋은 기억을 안고 설레는 마음으로 디올 성수에도 방문했으나 카페 여성 직원분 때문에 정말 불쾌한 경험을 했습니다,"I visited Dior Seongsu with great memories and excitement at Dior Cheongdam, but I had a really unpleasant experience because of the female cafe staff."
산리오 최애 캐릭터인 교동이의 생일카페 방문 할 수 있어 너무 영광이었습니다,"It was such an honor to be able to visit the birthday cafe of Gyo-dong, Sanrio's favorite character."
"잠시 머물렀지만, 나름 조용히 얘기하기 좋았어요.","Although I stayed for a while, it was nice to talk quietly."
음료 맛도 맛있고 공간도 넓고 아기자기 정말 이뻤어요!,"The drinks tasted delicious, the space was spacious, and it was really cute!"
우연히 방문했는데 야외공간도 예쁘고 내부도 넓고 깨끗해서 좋았습니다,I visited by chance and the outdoor space was beautiful and the interior was spacious and clean.
주말 4시쯤 방문하니 웨이팅 15팀 정도 있었는데 같은 건물 1~4층까지 옷구경 하다보니 순서가 금방 왔습니다,"When I visited around 4pm on a weekend, there were about 15 teams waiting, but as I was looking at clothes from the 1st to 4th floors of the same building, my order came quickly."
이 나서 맛있고 밤 파이도 위에 올라간 크림도 맛있고 안에가 꽉차서 넘 맛있게 먹었습니다!,"It was delicious, and the cream on top of the chestnut pie was delicious and filling, so I enjoyed it very much!"
성수동 소금빵을 알게된건 팝업스토어 찾아서 가다가 사람들이 줄서있는거보고 친구가 줄서서 먹자고해서 방문하게된곳이에요,"I found out about Seongsu-dong Salt Bread when I was looking for a pop-up store and saw people lining up, so my friend asked me to eat there, so I ended up visiting this place."
😍 커피랑 디저트도 넘 맛있고 디저트 종류가 다양해서 좋아요~!!,😍 The coffee and desserts are delicious and I like the variety of desserts~!!
"가게가 생각보다 넓고, 음악도 적당해서 대화하기도 좋아요","The store is bigger than I thought, and the music is just right, so it's good for conversation."
장점 : 넛슈페너 - 너무 달지고 않고 그렇다 쓰지더 않고 딱 맛남,"Pros: Nutspenner - Not too sweet, not too bitter, just delicious"
"외국인들에게도 인기 많아지는 것은 좋지만 티룸 분위기가 이렇게나 변질 된 것은 아쉽고, 오프라인 매장은 당분간 안 가게 될 것 같아요..","It's good that it's becoming more popular among foreigners, but it's a shame that the tea room atmosphere has deteriorated so much, and I don't think I'll be able to go to the offline store for a while."
빵 나오는 시간이 12시 반이던데 나오는 걸 바로 주는 건 아닌가봐요!,"The bread comes out at 12:30, but I guess they give it right away!"
겉은 바삭해야하는데 눅눅했고 속은 번처럼 살짝 비어있는게 소금빵이었는데 여긴 겉은눅눅하고 속은꽉차있어서 같이먹은 아빠와 동생은소금빵을 먹어봤지만 버터향가득한 소라빵 먹는 것 같다하더라구요,"The outside was supposed to be crispy, but it was soggy and the inside was slightly hollow like a bun, which was salt bread, but here it was soggy on the outside and full on the inside, so my dad and younger brother who ate with me said that although they had tried salt bread, it was like eating conch bread full of butter flavor."
저녁에 날도 춥고 커피는 좀 부담스러워 티룸으로 오게되었어요.,"It was cold in the evening and coffee felt a bit burdensome, so I came to the tea room."
유명한 소금빵 줄서서 샀어요.,I bought the famous salt bread in line.
"도넛오란다는 맛별로 다양해서 고르는재미가있는데, 플래이버는 큰차이는 없네요","Donut Oranda has a variety of flavors so it's fun to choose, but there isn't much difference in flavor."
커피 고소하고 맛있어요!!,The coffee is fragrant and delicious!!
"제가 먹어 본 소금빵 중 가장 맛있는 소금빵이라 매번 근처에 있어도 먼 길 돌아서 구매하러가는데요,, 매번 갈때마다 불친절한 여성직원분 때문에 기분이 항상 좋지 않아요","It's the most delicious salt bread I've ever eaten, so I always take a long way to buy it even if it's nearby. Every time I go, I'm always in a bad mood because of the unfriendly female staff."
커피를 못마시는 바람에 시그니처들을 못마셔봐서 아쉬웠어요,It was a shame that I couldn't try the signature products because I don't drink coffee.
커피가 맛있어요!!,The coffee is delicious!!
인생 처음으로 소금빵 먹어봤는데 먹기전에는 쓸데없이 비싸다고 들었던 생각이 먹고나서 그럴만하다고 바뀌었습니다..!!,"I tried salt bread for the first time in my life. Before eating it, I thought it was unnecessarily expensive, but after eating it, I changed my mind to think it was worth it..!!"
서울 놀라와서 우연히 들른 카페인데 직원분들도 친절하시고 커피랑 디저트도 너무 맛있네요,This is a cafe I happened to stop by on my way to Seoul. The staff is friendly and the coffee and desserts are delicious.
의자도 넓고 편안함 성수 갈 일 있다면 앞으로도 여길 가겠음,"The chairs are spacious and comfortable. If I ever go to Seongsu, I will continue to go here."
4개세트로만 판매하는게 별로입니다.,I don't like that they only sell it in sets of 4.
가게가 넓고 빵도맛있는게많은데 더 자주채워지면 좋을거 같아요!,"The store is large and has a lot of delicious bread, so it would be nice if it was restocked more often!"
실제로도 쾌적하고 널찍하고요 조용한 편은 아니고 살짝 힙한 노래랑 북적북적한 느낌이에요,"It's actually comfortable and spacious. It's not quiet, but it's a bit crowded with hip songs."
먼저 계산을 하고 빵을 받기 위해 줄을 서야하는 방식이다,You have to pay first and then stand in line to receive the bread.
매장이 넓고 쾌적하고 디저트도 맛있고 디스플레이 박스 안에 있어서 위생적인 것 같아요!,"The store is spacious and comfortable, the desserts are delicious, and it seems hygienic because it's in a display box!"
카카오톡 플러스친구 맺고 티백 받는 이벤트도 하고 있으니 꼭 참여해 보세요,"We are also holding an event where you can become a KakaoTalk Plus friend and receive a tea bag, so be sure to participate."
😆 매력적인 강아지 쿠션이 항상 반겨주는 곳이에요!,😆 This is a place where attractive dog cushions always welcome you!
성수에서 넓고 깔끔한곳 찾기 힘든데 넓고 자리도 많아서 좋았어요!!,"It's hard to find a spacious and clean place in Seongsu, but it was nice because it was spacious and had lots of seating!!"
"소금 빵 하나씩만 사고 싶은데 여러개 묶어서 팔아서 10,000원 좀 넘게 쓴 게 조금 아쉽긴 하지만 기름지고 촉촉하고 부드럽고 달콤한 게 다음에 꼭 사먹고 싶습니다","I only want to buy one salt bread, but they sold it in bundles, so I'm a little disappointed that I spent a little over 10,000 won, but I definitely want to buy something greasy, moist, soft, and sweet next time."
따뜻하게 데워주셔서 잘 먹었습니다.,It was warm and I enjoyed it.
갓나온 소금빵이 제일 맛있으니 바로 드셔보세요.,"Fresh salt bread is the best, so eat it right away."
사람들 떠들어도 별로 시끄럽다고 느껴지지 않고 앞마당은 주차하기 좋고요 발렛비 별도 부과 이제 추워져서 마당 테이블엔 못앉겠어요,"Even though people are talking, it doesn't feel too noisy and the front yard is good for parking. Valet fee is charged separately. It's getting cold now so I can't sit at the table in the yard."
"제일 가까운 공차라 자주 이용하는데 화장실에 기본적으로 핸드워시, 휴지, 핸드페이퍼나 핸드드라이는 좀 구비해주세요","I use it often because it is the closest Gongcha, so please provide some basic hand wash, tissues, hand paper, and hand dryers in the bathroom."
매해 생일마다 플디에서 케이크 구매하고 있는데 항상 너무 맛있습니다!,"I buy a cake from PD every year for my birthday, and it's always so delicious!"
프렌치토스트도 맛있구 커피도 오렌셔벗에이드도 다 최고에요,"The French toast is delicious, and the coffee and Oren sherbet ade are all great."
"커피로 이렇게 다양하게 즐길 수 있다는 점에서, 그리고 여러 퍼포먼스와 맛을 즐길 수 있다는 점에서 다른 성수 카페, 성수 오마카게 저리가라지 않나 싶네요!","In that you can enjoy so many different things with coffee, and in that you can enjoy various performances and flavors, I think other Seongsu cafes and Seongsu Omakage should go away!"
안그래도 좁은 매장에 손님들 줄서는거 관리 하나 못하는 알바생 환장콤보 멀뚱히 서있는거 보는 제가 다 속터져요,"Even so, I get upset when I see the part-time jobber who can't even manage the line of customers in a small store, just standing there blankly."
사람들도 많이 방문하는 것 같고 분위기도 꽤 좋았어서 기억에 남는 카페인 것 같습니당,"It seems like a lot of people visit and the atmosphere is pretty nice, so it seems like a memorable cafe."
"강아지와 산책하는길에 들렸는데 강아지도 입장할수 있어 편하게 주문했고, 인테리어도 좋고 특히 커피가 맛있어서 기분이 좋았습니다","I stopped by while walking my dog, and dogs were allowed inside, so I ordered comfortably. The interior was nice, and the coffee was especially delicious, so I felt good."
이전에 한번 방문해서 먹었을 때 너무 맛있었어서 20분 정도 줄 서서 받았는데 이번엔 빵이 따뜻하지 않아서 조금 아쉬웠어요,"When I visited once before, it was so delicious that I waited in line for about 20 minutes to get it, but this time I was a little disappointed that the bread wasn't warm."
배불러서 1개만 먹어보고팠는데 ~;; 맛은 겉에가 바삭할줄 알았는데 겉에도 부드러운느낌 ~ 3개는 돌아다니느라 못먹고 가방에 짱박아 놓았네요,"I was so full that I only ate one. I thought it would be crunchy on the outside, but it felt soft on the outside. I couldn't eat 3 of them because I was running around, so I stuffed them in my bag."
"매장은 키오스크 결제하고 픽업하는 입구 공간이 다일 정도로 컴팩트 한데, 단일메뉴 그리고 낱개 판매가 아닌 4개 1박스 세트메뉴 구성, 하루 딱 6번 굽고 판매하는 점 등 극한의 매출 효율성을 높인 점이 인상적.","The store is compact enough to have multiple entrance spaces for kiosk payment and pickup, but it is impressive that it has increased sales efficiency to the extreme by offering a single menu and a set menu of 4 items in a box rather than selling them individually, and by baking and selling only 6 times a day."
매장은 전체적으로 깔끔하고 소금빵이라 그런지 소금이 가마솥에 엄청많이 있는게 신기해서 좋았고 줄도 빨리빨리 줄어들어서 금방구매할수있는점이 좋았어요,"The overall store was clean and it was nice to see that there was a lot of salt in the cauldron, probably because it was salt bread, and the line moved quickly so I was able to purchase it quickly."
"우블라떼, 오렌지가 들어간 카푸치노 느낌의 커피라떼인데 달지도않고 오렌지향이 강하거나해서거부감도 없이 은은하고 너무 예쁘게 담겨나와요~","Oublatte, a cappuccino-like coffee latte with orange, is not too sweet and has a strong orange scent, so you won't be put off, and it's served beautifully and delicately."
👍👍bgm도 잔잔해서 편안하게 멍때리기도 좋고 자주 오고 싶은 곳!,"👍👍The bgm is calm, so it’s great to just zone out, and it’s a place I want to come often!"
"재방문하면서 보였던 것들 👀 낙선재의 월문처럼 '육각형'의 한옥미 테이블 바, 창문, 그리고, 서랍장 손잡이로 시선이 고즈넉하면서도 차분한 분위기가 안에서 바깥으로 이번에는 바에서 쑥차를 마셨는데, 향긋함이 한가득 몸이 따뜻해지는 차 한모금에 걱정거리가 녹아내리는 다음에는 오픈한 루프탑에서 시원한 바람과 차온 예정 :)","Things I saw during my return visit 👀 Like Nakseonjae's Wolmoon, the 'hexagonal' Hanok-style table, bar, windows, and drawer handles create a serene and calm atmosphere from inside to outside. This time, I drank mugwort tea at the bar. My worries melted away with a sip of fragrant tea that warmed my body. Afterwards, I plan to enjoy the cool breeze and chill on the open rooftop :)"
"방문 전 봤던 다른 리뷰들에서는 직원분이 불친절하다는 말도 많았으나, 제가 방문했을 때는 직원분도 친절하셔서 재방문 의사 완전 있습니다.","Many of the other reviews I read before visiting said that the staff was unfriendly, but when I visited, the staff was so friendly that I would definitely visit again."
근데 개인적으로 낱개로 1개씩 파는 편이 더 소비자지향적이라 생각하는데 마진이 어떻게 된건지 4개씩 세트만 판매하는 건 살짝 트렌드에 뒤쳐진 것 같다는 생각이 들었어요.,"However, I personally think that selling each item individually is more consumer-oriented, but I thought that selling only sets of 4 seems to be slightly behind the trend due to the margins."
평일 낮기준 웨이팅없이 바로입장했습니다,I got in right away without waiting on a weekday afternoon.
역이랑 조금 먼데 걸어올만 하고 성수에서 꼭 가봐야 될 카페에요!!,"It's a bit far from the station, but it's worth a walk, and it's a must-visit cafe in Seongsu!!"
줄 서서 4개씩 이나 사야할 만큼 대단한 맛은 아녜요.,The taste isn't so great that you have to stand in line and buy 4 of them.
"😍😍 주변에 트리도 있고, 이벤트 공간도 있어서 음식 받으러 왔다갔다 할 때 복작복작 했지만 일행들과 즐기기에는 부족함이 없었네요!","😍😍 There was a tree nearby and an event space, so it was a bit complicated to go back and forth to get food, but it was enough to enjoy with my friends!"
성수동에서 서울숲 넘어가는 길 항상 지나치는 골목길에 있어 궁금했는데~~ 커피 너무 맛있어요!,I was curious about this because it was in an alley that I always passed on the way from Seongsu-dong to Seoul Forest. The coffee was so delicious!
들어가보니 인테리어도 너무 예쁘고 사진도 잘나오는 분위기라 더 좋았습니다.,"When I went in, I liked the interior because it was very pretty and the atmosphere took good pictures."
아아가 생각보다 저렴했고 디저트도 맛있어요,"Ah, it was cheaper than I thought and the dessert was delicious."
😂 빵나오는 시간 맞춰서가서 그래도 한 10분정도만 기다렸던 것 같아요.,"😂 I went just in time for the bread to come out, but I think I only waited about 10 minutes."
좌석도 편하고 음악도 집중하기좋아요,The seats are comfortable and the music is good for concentrating.
"줄 없으면 1,2개 사먹을수도 있지만 줄도 서, 갑자기 끊음(?) 무조건 최소 12,000원 사야되고.","If there is no line, you can buy 1 or 2 pieces, but there is a line, and it suddenly cuts off(?). You have to buy at least 12,000 won."
썸머라떼 너무 맛있구 프토도 진짜 맛있어욤!,The summer latte is so delicious and the pto is really delicious too!
금요일 점심 방문했고 대기 그렇게 많지 않앗어요!,Visited for lunch on a Friday and there wasn't that much of a wait!
베통 줄 서는 김에 자연도도 샀음,"While I was waiting in line for Betong, I also bought Jayeondo."
입규를 찾기가 힘들었러요.,It was difficult to find Ip-gyu.
다음엔 사서 바로 먹어야지,Next time I will buy it and eat it right away.
퇴사후 맘이 싱숭생숭했는데 같이 위로 많이 받았어요!!,"I felt depressed after leaving the company, but we received a lot of comfort together!!"
걍 다른곳과 비슷한 가격인데 세트로 4개같이 구매해야하며 인테리어가 멋있어용,"The price is similar to other places, but you have to buy 4 as a set, and the interior is nice."
"웨이팅 없이 들어갔고, 여러가지 종류 요청했는데 보는 사람이 많아서 그런지 후보있으면 알려달라고 하시더라구요,,","I went in without waiting, and requested a variety of dishes, but perhaps because there were a lot of people watching, they asked me to let them know if there were any candidates."
"코리안 믹스커피를 이렇게 재현해내다니, 감탄입니당!",I'm amazed that you can recreate Korean mixed coffee like this!
여기 소금빵 맛본 이후로 이거밖에 못먹겠음 ..,"Ever since I tasted the salt bread here, this is the only thing I can eat.."
"세련된 분위기가 참 좋았고, 커피도 생각보다 훨씬 맛있었어요.","I really liked the sophisticated atmosphere, and the coffee was much better than I expected."
워낙 유명한 곳인데 지나다가 사람들이 몇명 없어서 사봤어요.,"It's a very famous place, but I passed by and saw few people so I bought it."
오늘은 성수매장으로~~ 항상 웨이팅은 기본 소금빵은 역쉬 자연도가 최고예요,"Today we go to the Seongsu store~~ There is always a wait, and the salt bread is naturally the best."
"냄새에 홀려 줄을 서게 됐는데 특이하게도 키오스크에 시간별로 결제를 하게 되어있고, 한세트에 무조건 4개씩 팔더라구요!","I was captivated by the smell and had to wait in line, but strangely, the kiosk allowed you to pay by the hour, and they always sold 4 pieces per set!"
성수동 팝업갔다 우연히 발견한 믹스커피맛집 달달구리 더위사냥 아이스크림맛 ♡ 더울때 한잔 마시니 에너지 업 오란다두 맛있구~~ 밖에 테이블 있어용~,I went to a pop-up in Seongsu-dong and stumbled across a mixed coffee restaurant called Daldalguri. It tastes like heat-killing ice cream ♡ Drinking a cup when it's hot gives you energy. Oranda is delicious~~ There's a table outside~
지난번 줄이 넘 길어 못 먹어서 오늘은 후다닥 포장해서 사감..,"Last time the line was so long I couldn't eat, so I packed it up today and bought it."
2만원 커피가격보다 더 많은 만족감과 힐링하고 왔습니다,"I received more satisfaction and healing than the price of 20,000 won coffee."
평일에 가니 한적하고 좋네요,It's nice and quiet if you go on a weekday.
"먹기 좋은 방법 알려주신대로 빵 속을 살짝 파낸 후, 별도로 챙겨주신 크럼블을 안에 부어 함께 먹으면 달콤하고 고소한 견과류의 깊은 풍미까지 더해준 덕에 계속 퍼먹게 되던 디저트로 단연 이 날의 원픽!","The best way to eat it is by scooping out the inside of the bread as you suggested, then pouring the crumble that was provided separately inside and eating it together. It adds a deep flavor of sweet and savory nuts, making it a dessert that I keep eating, and it is definitely my favorite of the day!"
자연도소금빵이 맛있다고 들었는데 정말 우연찮게 보게되서 살수있었답니다,"I heard that Jayeondo Salt Bread was delicious, and I was able to buy it because I saw it by chance."
"식었는데도 맛있고, 전자레인지에 뎁혀먹으니 갓 구운듯 촉촉 고소 짭쪼름 쫄깃 따뜻하니 맛있었어요!","It was delicious even when it was cold, and when I heated it in the microwave, it was moist, salty, chewy, warm, and delicious as if it had been freshly baked!"
다른 것들도 그렇지만 리뷰 이벤트로 주신 파인콘도 맛있었어요!,"As with everything else, the pine cone given as a review event was delicious!"
추천받아 갔는데 친절하게 설명도 잘 해주시고 차도 맛있었어요,"I went there after it was recommended, and the explanation was kind and the tea was delicious."
소금빵 사진을 못 찍었네요,I didn't take a picture of the salt bread.
"더운 날 강아지 동반 가능한 카페 찾기 힘들었는데~ 넘 반갑게 들어와서 쉬다가요~ 우연히 들렀는데, 공간이 넓어서 좋았어요.","It was hard to find a cafe that allowed dogs on a hot day, but I was so happy to come in and have a rest. I stopped by by chance, and it was nice because the space was spacious."
"오랜만에 방문하는 자연도🥐 갈 때마다 사람이 많이 그냥 지나쳤는데, 이 날은 소금빵 냄새가 너무 좋아서 기다려서 소금빵을 사왔습니당","It's been a while since I visited Nature🥐 Every time I go, a lot of people just pass by, but on this day, the smell of salt bread was so good that I waited and bought some salt bread."
버터리하고 너무 맛나요!!,Buttery and so delicious!!
조용히 책읽거나 얘기 나누기 좋아요!,Great for quietly reading a book or talking!
올라가는 크림이 부드럽고 달달하고 진했습니다,"The cream that went up was soft, sweet, and rich."
에스프레소에 취약한 사람들도 마시기 쉬운 스타일이라서 시그니처는 다 드셔보시길 권유하고 싶어요,I would like to recommend that people who are weak to espresso try all of the signature styles because they are easy to drink.
❤️ 포토존 이렇게 많은 곳 너무너무 오랜만인데 웬만한 스튜디오보다 더 아름다운곳🥺 디저트랑 음료도 비주얼 장난아닌데 맛 더 미쳐버림..,"❤️ It's been a long time since I've seen so many photo zones, but this place is more beautiful than most studios🥺 The desserts and drinks are no joke, but the taste is even crazier..."
여긴 찐이에여… 여길가려고 간 건 아니구요… 걷다가 길거리에 퍼진 버터냄새로 유혹 당해서 홀려서 샀어요… 이 냄새 뭐지…,"This is Jjin... I didn't go here to go... While I was walking, I was tempted by the smell of butter on the street, so I bought it... What is this smell..."
저번에 찻잎을 구매하고 받은 쿠폰을 쓰러왔는데 살짝 문제가 있었지만 친절하게 대응해주셔서 맛있게 잘 먹고 좋은 기억 남기고 왔네요.,"I used the coupon I received after purchasing tea leaves last time, and there was a slight problem, but they responded kindly, so I enjoyed the meal and left with good memories."
소금빵 갓 나와서 엄청 따끈하고 버터도 가득 들었는지 부드럽고 맛있어요,"The salt bread is freshly made, very warm, and full of butter, so soft and delicious."
예전부터 성수동에 자연도소금빵 있는 거 알고 있었는데 좀 늦게 이제야 들렸어요,"I've known for a long time that there is a Jayeondo Salt Bread in Seongsu-dong, but I only heard about it a little late."
테이블끼리 좀 가깝다 느껴지는데 딱히 불편하진않네오!!,"It feels like the tables are a bit close together, but it’s not particularly uncomfortable!!"
"명장님이 직접 내어주신 초코에 반하다에 반하고, 자극적이지 않은 파바게트와 발효팥은 사용한 달지않은 단팥빵의 맛이 참 좋습니다.","I fell in love with the chocolate served by the chef himself, and the taste of the mild sweet red bean bread made with mild fabaguette and fermented red beans is really good."
웨이팅이 길어보여도 빵 받아가는건 순식간이라 내차례가 금방 옵니다,"Even though the wait seems long, it's quick to get the bread so my turn comes quickly."
"느끼하다는 평도 많은데 독보적인 맛이라 딴거 먹으면 만족이 안돼서 문제입니다,,,, 차라리 여기 소금빵 맛이 제스타일이 아니었으면 좋겠어요","There are many reviews saying that it is greasy, but the problem is that it is unrivaled in taste and I am not satisfied when I eat other things. I wish the taste of the salt bread here was not my style."
인테리어가 멋지고 조용해서 좋아요,I like that the interior is nice and quiet.
테이크아웃 할인되서 좋아요,I like the takeout discount.
시그니처 메뉴라고 해서 기대했는데 신기하게 상큼달콤하고 쌉싸름한게 아주 특별했습니다.,"I had high expectations because it was a signature dish, but it was surprisingly sweet and bitter, making it very special."
"아직 끝나지 않은 여름, 거리를 걷다가 우연찮게 들렀는데 분위기도 좋고, 음악도 좋고, 음료도 맛있어요.","Summer isn't over yet, and I happened to stop by while walking down the street. The atmosphere was good, the music was good, and the drinks were delicious."
진짜 존맛탱…네 개 사서 혼자 세개 순삭 너무 맛있음.,Really delicious... I bought four and ate three by myself. They were so delicious.
